image,label
data_given\Dog\9663.jpg,1
data_given\Cat\8610.jpg,0
data_given\Dog\7931.jpg,1
data_given\Dog\3081.jpg,1
data_given\Cat\2273.jpg,0
data_given\Dog\353.jpg,1
data_given\Dog\11443.jpg,1
data_given\Dog\11494.jpg,1
data_given\Dog\6235.jpg,1
data_given\Dog\9531.jpg,1
data_given\Dog\9732.jpg,1
data_given\Dog\9827.jpg,1
data_given\Cat\451.jpg,0
data_given\Cat\3163.jpg,0
data_given\Cat\1733.jpg,0
data_given\Dog\274.jpg,1
data_given\Cat\969.jpg,0
data_given\Cat\1098.jpg,0
data_given\Cat\9071.jpg,0
data_given\Cat\7502.jpg,0
data_given\Dog\9127.jpg,1
data_given\Dog\9276.jpg,1
data_given\Cat\223.jpg,0
data_given\Cat\1684.jpg,0
data_given\Dog\9841.jpg,1
data_given\Dog\7785.jpg,1
data_given\Dog\8328.jpg,1
data_given\Cat\3021.jpg,0
data_given\Cat\4943.jpg,0
data_given\Cat\11533.jpg,0
data_given\Dog\1726.jpg,1
data_given\Dog\1502.jpg,1
data_given\Cat\4968.jpg,0
data_given\Cat\10744.jpg,0
data_given\Dog\11359.jpg,1
data_given\Cat\7562.jpg,0
data_given\Dog\2192.jpg,1
data_given\Cat\7848.jpg,0
data_given\Cat\10820.jpg,0
data_given\Cat\3489.jpg,0
data_given\Cat\4683.jpg,0
data_given\Cat\7614.jpg,0
data_given\Cat\1451.jpg,0
data_given\Dog\9203.jpg,1
data_given\Dog\599.jpg,1
data_given\Dog\11936.jpg,1
data_given\Cat\6963.jpg,0
data_given\Cat\1311.jpg,0
data_given\Dog\887.jpg,1
data_given\Cat\8053.jpg,0
data_given\Cat\6022.jpg,0
data_given\Cat\296.jpg,0
data_given\Dog\7047.jpg,1
data_given\Cat\1652.jpg,0
data_given\Dog\5505.jpg,1
data_given\Cat\11208.jpg,0
data_given\Dog\6188.jpg,1
data_given\Cat\1324.jpg,0
data_given\Dog\6971.jpg,1
data_given\Cat\6424.jpg,0
data_given\Cat\11177.jpg,0
data_given\Dog\9949.jpg,1
data_given\Cat\10800.jpg,0
data_given\Cat\2475.jpg,0
data_given\Cat\2515.jpg,0
data_given\Cat\1228.jpg,0
data_given\Dog\8732.jpg,1
data_given\Cat\5963.jpg,0
data_given\Cat\9832.jpg,0
data_given\Cat\8915.jpg,0
data_given\Dog\5879.jpg,1
data_given\Dog\4455.jpg,1
data_given\Cat\4948.jpg,0
data_given\Cat\3016.jpg,0
data_given\Cat\489.jpg,0
data_given\Dog\5160.jpg,1
data_given\Cat\9082.jpg,0
data_given\Dog\10374.jpg,1
data_given\Cat\3979.jpg,0
data_given\Dog\3537.jpg,1
data_given\Dog\9816.jpg,1
data_given\Dog\11661.jpg,1
data_given\Dog\2750.jpg,1
data_given\Dog\9091.jpg,1
data_given\Cat\11314.jpg,0
data_given\Dog\4655.jpg,1
data_given\Dog\7459.jpg,1
data_given\Cat\6280.jpg,0
data_given\Dog\10534.jpg,1
data_given\Cat\822.jpg,0
data_given\Cat\3305.jpg,0
data_given\Cat\12412.jpg,0
data_given\Dog\11504.jpg,1
data_given\Cat\8437.jpg,0
data_given\Dog\5542.jpg,1
data_given\Cat\1292.jpg,0
data_given\Cat\9921.jpg,0
data_given\Cat\9103.jpg,0
data_given\Dog\10291.jpg,1
data_given\Dog\5240.jpg,1
data_given\Dog\1355.jpg,1
data_given\Dog\5723.jpg,1
data_given\Cat\3383.jpg,0
data_given\Dog\10630.jpg,1
data_given\Dog\1239.jpg,1
data_given\Cat\5314.jpg,0
data_given\Cat\2498.jpg,0
data_given\Cat\4178.jpg,0
data_given\Dog\4292.jpg,1
data_given\Dog\1614.jpg,1
data_given\Dog\12177.jpg,1
data_given\Cat\12187.jpg,0
data_given\Dog\3717.jpg,1
data_given\Cat\1200.jpg,0
data_given\Dog\7848.jpg,1
data_given\Dog\10832.jpg,1
data_given\Dog\597.jpg,1
data_given\Cat\4795.jpg,0
data_given\Cat\10743.jpg,0
data_given\Cat\8361.jpg,0
data_given\Cat\7277.jpg,0
data_given\Dog\5079.jpg,1
data_given\Dog\3805.jpg,1
data_given\Cat\8760.jpg,0
data_given\Dog\8823.jpg,1
data_given\Cat\9137.jpg,0
data_given\Cat\675.jpg,0
data_given\Dog\4792.jpg,1
data_given\Dog\9102.jpg,1
data_given\Cat\1151.jpg,0
data_given\Cat\7468.jpg,0
data_given\Dog\3524.jpg,1
data_given\Dog\10681.jpg,1
data_given\Dog\9798.jpg,1
data_given\Dog\8022.jpg,1
data_given\Dog\11813.jpg,1
data_given\Cat\3319.jpg,0
data_given\Dog\10686.jpg,1
data_given\Dog\7287.jpg,1
data_given\Dog\1247.jpg,1
data_given\Dog\6346.jpg,1
data_given\Dog\1405.jpg,1
data_given\Dog\4524.jpg,1
data_given\Cat\7497.jpg,0
data_given\Cat\10999.jpg,0
data_given\Cat\11886.jpg,0
data_given\Dog\6933.jpg,1
data_given\Cat\933.jpg,0
data_given\Cat\765.jpg,0
data_given\Dog\3510.jpg,1
data_given\Cat\10848.jpg,0
data_given\Cat\7261.jpg,0
data_given\Cat\2804.jpg,0
data_given\Cat\11261.jpg,0
data_given\Dog\4506.jpg,1
data_given\Dog\998.jpg,1
data_given\Dog\1733.jpg,1
data_given\Cat\3284.jpg,0
data_given\Dog\11257.jpg,1
data_given\Dog\3701.jpg,1
data_given\Dog\4148.jpg,1
data_given\Cat\4665.jpg,0
data_given\Dog\2993.jpg,1
data_given\Cat\10511.jpg,0
data_given\Cat\7159.jpg,0
data_given\Cat\7040.jpg,0
data_given\Cat\11514.jpg,0
data_given\Cat\1540.jpg,0
data_given\Cat\9153.jpg,0
data_given\Dog\9204.jpg,1
data_given\Cat\140.jpg,0
data_given\Cat\1518.jpg,0
data_given\Cat\1539.jpg,0
data_given\Dog\2416.jpg,1
data_given\Dog\7230.jpg,1
data_given\Dog\6790.jpg,1
data_given\Dog\6647.jpg,1
data_given\Cat\11861.jpg,0
data_given\Cat\8631.jpg,0
data_given\Dog\1356.jpg,1
data_given\Cat\5167.jpg,0
data_given\Dog\10208.jpg,1
data_given\Cat\5214.jpg,0
data_given\Cat\11769.jpg,0
data_given\Dog\8657.jpg,1
data_given\Dog\7378.jpg,1
data_given\Dog\10819.jpg,1
data_given\Dog\6179.jpg,1
data_given\Cat\7466.jpg,0
data_given\Dog\8195.jpg,1
data_given\Dog\3977.jpg,1
data_given\Cat\7343.jpg,0
data_given\Cat\9856.jpg,0
data_given\Dog\3018.jpg,1
data_given\Dog\10245.jpg,1
data_given\Dog\6752.jpg,1
data_given\Dog\1062.jpg,1
data_given\Cat\1438.jpg,0
data_given\Dog\4315.jpg,1
data_given\Cat\507.jpg,0
data_given\Cat\12432.jpg,0
data_given\Dog\1871.jpg,1
data_given\Dog\11462.jpg,1
data_given\Dog\6931.jpg,1
data_given\Dog\7754.jpg,1
data_given\Dog\11246.jpg,1
data_given\Cat\8294.jpg,0
data_given\Dog\3557.jpg,1
data_given\Cat\2031.jpg,0
data_given\Cat\4074.jpg,0
data_given\Cat\692.jpg,0
data_given\Cat\1519.jpg,0
data_given\Dog\1158.jpg,1
data_given\Cat\1855.jpg,0
data_given\Dog\1384.jpg,1
data_given\Dog\10068.jpg,1
data_given\Dog\6575.jpg,1
data_given\Dog\2320.jpg,1
data_given\Dog\10942.jpg,1
data_given\Cat\11342.jpg,0
data_given\Cat\9359.jpg,0
data_given\Cat\9760.jpg,0
data_given\Dog\8294.jpg,1
data_given\Dog\10717.jpg,1
data_given\Dog\935.jpg,1
data_given\Dog\5614.jpg,1
data_given\Dog\25.jpg,1
data_given\Dog\712.jpg,1
data_given\Dog\10444.jpg,1
data_given\Cat\2386.jpg,0
data_given\Cat\7842.jpg,0
data_given\Cat\1465.jpg,0
data_given\Cat\4692.jpg,0
data_given\Dog\7131.jpg,1
data_given\Cat\3744.jpg,0
data_given\Cat\1214.jpg,0
data_given\Cat\10410.jpg,0
data_given\Cat\11968.jpg,0
data_given\Dog\4114.jpg,1
data_given\Dog\2820.jpg,1
data_given\Cat\8868.jpg,0
data_given\Dog\4514.jpg,1
data_given\Dog\1924.jpg,1
data_given\Dog\3799.jpg,1
data_given\Cat\9855.jpg,0
data_given\Cat\4610.jpg,0
data_given\Cat\3969.jpg,0
data_given\Cat\4389.jpg,0
data_given\Cat\7661.jpg,0
data_given\Dog\3154.jpg,1
data_given\Cat\774.jpg,0
data_given\Cat\5151.jpg,0
data_given\Cat\2857.jpg,0
data_given\Cat\3804.jpg,0
data_given\Cat\9252.jpg,0
data_given\Cat\12290.jpg,0
data_given\Dog\11686.jpg,1
data_given\Dog\2069.jpg,1
data_given\Dog\10176.jpg,1
data_given\Cat\3009.jpg,0
data_given\Dog\7272.jpg,1
data_given\Dog\12165.jpg,1
data_given\Cat\6961.jpg,0
data_given\Cat\7776.jpg,0
data_given\Dog\6856.jpg,1
data_given\Cat\217.jpg,0
data_given\Cat\5487.jpg,0
data_given\Dog\8131.jpg,1
data_given\Dog\1923.jpg,1
data_given\Dog\8325.jpg,1
data_given\Dog\3454.jpg,1
data_given\Dog\1835.jpg,1
data_given\Cat\7697.jpg,0
data_given\Cat\2133.jpg,0
data_given\Dog\11519.jpg,1
data_given\Cat\2906.jpg,0
data_given\Dog\10092.jpg,1
data_given\Cat\1565.jpg,0
data_given\Cat\5211.jpg,0
data_given\Dog\10331.jpg,1
data_given\Cat\12436.jpg,0
data_given\Dog\8180.jpg,1
data_given\Dog\1486.jpg,1
data_given\Cat\7704.jpg,0
data_given\Dog\7681.jpg,1
data_given\Cat\11541.jpg,0
data_given\Cat\5489.jpg,0
data_given\Cat\1312.jpg,0
data_given\Dog\1332.jpg,1
data_given\Dog\4722.jpg,1
data_given\Cat\7761.jpg,0
data_given\Cat\2053.jpg,0
data_given\Dog\1347.jpg,1
data_given\Cat\11010.jpg,0
data_given\Dog\8650.jpg,1
data_given\Cat\7442.jpg,0
data_given\Cat\11149.jpg,0
data_given\Cat\2674.jpg,0
data_given\Dog\5919.jpg,1
data_given\Dog\10445.jpg,1
data_given\Dog\9725.jpg,1
data_given\Dog\10266.jpg,1
data_given\Cat\9199.jpg,0
data_given\Dog\9150.jpg,1
data_given\Dog\3306.jpg,1
data_given\Cat\5505.jpg,0
data_given\Dog\5797.jpg,1
data_given\Dog\10485.jpg,1
data_given\Dog\7109.jpg,1
data_given\Dog\5391.jpg,1
data_given\Dog\3089.jpg,1
data_given\Dog\112.jpg,1
data_given\Dog\9860.jpg,1
data_given\Cat\6300.jpg,0
data_given\Cat\11594.jpg,0
data_given\Dog\4511.jpg,1
data_given\Dog\8902.jpg,1
data_given\Cat\3063.jpg,0
data_given\Dog\10530.jpg,1
data_given\Dog\8419.jpg,1
data_given\Dog\10677.jpg,1
data_given\Dog\3918.jpg,1
data_given\Dog\4255.jpg,1
data_given\Dog\10563.jpg,1
data_given\Cat\12467.jpg,0
data_given\Dog\10508.jpg,1
data_given\Cat\5463.jpg,0
data_given\Dog\8700.jpg,1
data_given\Dog\4256.jpg,1
data_given\Dog\4823.jpg,1
data_given\Dog\991.jpg,1
data_given\Dog\11410.jpg,1
data_given\Dog\11269.jpg,1
data_given\Dog\2892.jpg,1
data_given\Dog\7313.jpg,1
data_given\Dog\1019.jpg,1
data_given\Dog\4591.jpg,1
data_given\Dog\9576.jpg,1
data_given\Dog\10341.jpg,1
data_given\Cat\1327.jpg,0
data_given\Cat\12106.jpg,0
data_given\Cat\12148.jpg,0
data_given\Cat\5085.jpg,0
data_given\Dog\7971.jpg,1
data_given\Dog\7969.jpg,1
data_given\Dog\10696.jpg,1
data_given\Cat\4583.jpg,0
data_given\Cat\6560.jpg,0
data_given\Dog\3297.jpg,1
data_given\Dog\4765.jpg,1
data_given\Dog\7886.jpg,1
data_given\Cat\8121.jpg,0
data_given\Dog\7975.jpg,1
data_given\Dog\11575.jpg,1
data_given\Cat\1712.jpg,0
data_given\Dog\2995.jpg,1
data_given\Cat\7063.jpg,0
data_given\Cat\3293.jpg,0
data_given\Cat\5918.jpg,0
data_given\Dog\2324.jpg,1
data_given\Dog\11751.jpg,1
data_given\Dog\12149.jpg,1
data_given\Cat\9628.jpg,0
data_given\Cat\8343.jpg,0
data_given\Dog\3237.jpg,1
data_given\Dog\97.jpg,1
data_given\Dog\2870.jpg,1
data_given\Cat\8011.jpg,0
data_given\Cat\4195.jpg,0
data_given\Dog\11015.jpg,1
data_given\Dog\2119.jpg,1
data_given\Cat\8101.jpg,0
data_given\Cat\6907.jpg,0
data_given\Cat\9553.jpg,0
data_given\Cat\4541.jpg,0
data_given\Cat\6649.jpg,0
data_given\Cat\10992.jpg,0
data_given\Cat\1787.jpg,0
data_given\Cat\5888.jpg,0
data_given\Dog\9023.jpg,1
data_given\Dog\2811.jpg,1
data_given\Cat\12267.jpg,0
data_given\Cat\11237.jpg,0
data_given\Cat\10291.jpg,0
data_given\Dog\12262.jpg,1
data_given\Dog\5193.jpg,1
data_given\Cat\10587.jpg,0
data_given\Cat\7242.jpg,0
data_given\Dog\1689.jpg,1
data_given\Cat\4160.jpg,0
data_given\Dog\2207.jpg,1
data_given\Cat\10452.jpg,0
data_given\Dog\6456.jpg,1
data_given\Dog\4194.jpg,1
data_given\Dog\2764.jpg,1
data_given\Cat\1256.jpg,0
data_given\Cat\9251.jpg,0
data_given\Cat\10392.jpg,0
data_given\Cat\2852.jpg,0
data_given\Cat\6525.jpg,0
data_given\Cat\543.jpg,0
data_given\Cat\2431.jpg,0
data_given\Dog\8155.jpg,1
data_given\Dog\7771.jpg,1
data_given\Dog\10911.jpg,1
data_given\Cat\2233.jpg,0
data_given\Cat\7700.jpg,0
data_given\Dog\12042.jpg,1
data_given\Cat\4929.jpg,0
data_given\Dog\577.jpg,1
data_given\Dog\2185.jpg,1
data_given\Dog\539.jpg,1
data_given\Cat\11176.jpg,0
data_given\Dog\8843.jpg,1
data_given\Cat\3934.jpg,0
data_given\Dog\3672.jpg,1
data_given\Cat\3882.jpg,0
data_given\Dog\119.jpg,1
data_given\Dog\8774.jpg,1
data_given\Dog\2020.jpg,1
data_given\Cat\499.jpg,0
data_given\Cat\1669.jpg,0
data_given\Cat\10185.jpg,0
data_given\Dog\7048.jpg,1
data_given\Cat\5023.jpg,0
data_given\Dog\266.jpg,1
data_given\Dog\8806.jpg,1
data_given\Cat\7995.jpg,0
data_given\Cat\4774.jpg,0
data_given\Dog\11588.jpg,1
data_given\Cat\12158.jpg,0
data_given\Cat\5607.jpg,0
data_given\Cat\7471.jpg,0
data_given\Cat\5911.jpg,0
data_given\Cat\10927.jpg,0
data_given\Dog\11708.jpg,1
data_given\Dog\5889.jpg,1
data_given\Dog\8344.jpg,1
data_given\Cat\7292.jpg,0
data_given\Dog\5918.jpg,1
data_given\Dog\8840.jpg,1
data_given\Cat\603.jpg,0
data_given\Dog\4680.jpg,1
data_given\Cat\2611.jpg,0
data_given\Cat\3357.jpg,0
data_given\Dog\4604.jpg,1
data_given\Dog\10799.jpg,1
data_given\Cat\2656.jpg,0
data_given\Dog\4612.jpg,1
data_given\Cat\9255.jpg,0
data_given\Dog\10552.jpg,1
data_given\Cat\8699.jpg,0
data_given\Cat\12460.jpg,0
data_given\Dog\1334.jpg,1
data_given\Cat\10681.jpg,0
data_given\Dog\9578.jpg,1
data_given\Dog\8599.jpg,1
data_given\Cat\6207.jpg,0
data_given\Dog\4852.jpg,1
data_given\Dog\1711.jpg,1
data_given\Cat\1804.jpg,0
data_given\Cat\2476.jpg,0
data_given\Cat\7622.jpg,0
data_given\Cat\9089.jpg,0
data_given\Cat\9068.jpg,0
data_given\Dog\8522.jpg,1
data_given\Dog\8143.jpg,1
data_given\Cat\2304.jpg,0
data_given\Cat\5209.jpg,0
data_given\Dog\7467.jpg,1
data_given\Cat\6071.jpg,0
data_given\Cat\5220.jpg,0
data_given\Cat\9743.jpg,0
data_given\Cat\1448.jpg,0
data_given\Dog\2270.jpg,1
data_given\Dog\3341.jpg,1
data_given\Cat\3588.jpg,0
data_given\Cat\1395.jpg,0
data_given\Cat\11451.jpg,0
data_given\Cat\5715.jpg,0
data_given\Dog\11696.jpg,1
data_given\Cat\10422.jpg,0
data_given\Dog\12346.jpg,1
data_given\Cat\6316.jpg,0
data_given\Cat\6240.jpg,0
data_given\Dog\4609.jpg,1
data_given\Dog\7999.jpg,1
data_given\Cat\9887.jpg,0
data_given\Cat\6827.jpg,0
data_given\Cat\8050.jpg,0
data_given\Dog\1126.jpg,1
data_given\Cat\11269.jpg,0
data_given\Cat\3307.jpg,0
data_given\Cat\12249.jpg,0
data_given\Cat\12326.jpg,0
data_given\Cat\1919.jpg,0
data_given\Cat\3316.jpg,0
data_given\Dog\1535.jpg,1
data_given\Dog\6824.jpg,1
data_given\Cat\249.jpg,0
data_given\Dog\11943.jpg,1
data_given\Cat\40.jpg,0
data_given\Dog\6846.jpg,1
data_given\Cat\8757.jpg,0
data_given\Dog\1139.jpg,1
data_given\Dog\7536.jpg,1
data_given\Dog\2316.jpg,1
data_given\Dog\8585.jpg,1
data_given\Cat\7904.jpg,0
data_given\Cat\10381.jpg,0
data_given\Dog\10212.jpg,1
data_given\Cat\3143.jpg,0
data_given\Cat\6682.jpg,0
data_given\Dog\8526.jpg,1
data_given\Dog\9434.jpg,1
data_given\Dog\7412.jpg,1
data_given\Cat\6380.jpg,0
data_given\Dog\7858.jpg,1
data_given\Cat\139.jpg,0
data_given\Dog\8692.jpg,1
data_given\Cat\12419.jpg,0
data_given\Dog\4547.jpg,1
data_given\Cat\7569.jpg,0
data_given\Cat\9324.jpg,0
data_given\Cat\2452.jpg,0
data_given\Dog\4010.jpg,1
data_given\Cat\2956.jpg,0
data_given\Cat\9083.jpg,0
data_given\Cat\5989.jpg,0
data_given\Dog\3320.jpg,1
data_given\Dog\6778.jpg,1
data_given\Dog\7838.jpg,1
data_given\Dog\5856.jpg,1
data_given\Dog\4353.jpg,1
data_given\Dog\4426.jpg,1
data_given\Dog\10946.jpg,1
data_given\Dog\2689.jpg,1
data_given\Dog\3426.jpg,1
data_given\Dog\10171.jpg,1
data_given\Cat\10757.jpg,0
data_given\Cat\2001.jpg,0
data_given\Dog\5801.jpg,1
data_given\Dog\8714.jpg,1
data_given\Dog\7600.jpg,1
data_given\Cat\2131.jpg,0
data_given\Dog\9724.jpg,1
data_given\Dog\10261.jpg,1
data_given\Cat\11752.jpg,0
data_given\Cat\11775.jpg,0
data_given\Dog\8498.jpg,1
data_given\Dog\2284.jpg,1
data_given\Dog\5204.jpg,1
data_given\Cat\4088.jpg,0
data_given\Cat\805.jpg,0
data_given\Cat\706.jpg,0
data_given\Cat\3438.jpg,0
data_given\Cat\7411.jpg,0
data_given\Cat\8388.jpg,0
data_given\Dog\11136.jpg,1
data_given\Dog\10960.jpg,1
data_given\Cat\4426.jpg,0
data_given\Cat\3863.jpg,0
data_given\Cat\7639.jpg,0
data_given\Dog\8815.jpg,1
data_given\Dog\279.jpg,1
data_given\Dog\5602.jpg,1
data_given\Dog\9826.jpg,1
data_given\Dog\1011.jpg,1
data_given\Dog\10373.jpg,1
data_given\Cat\1219.jpg,0
data_given\Dog\11348.jpg,1
data_given\Cat\11757.jpg,0
data_given\Dog\7365.jpg,1
data_given\Cat\2588.jpg,0
data_given\Dog\2699.jpg,1
data_given\Cat\11242.jpg,0
data_given\Cat\10722.jpg,0
data_given\Dog\6337.jpg,1
data_given\Dog\8671.jpg,1
data_given\Dog\295.jpg,1
data_given\Cat\10941.jpg,0
data_given\Dog\6649.jpg,1
data_given\Cat\3779.jpg,0
data_given\Dog\8401.jpg,1
data_given\Dog\783.jpg,1
data_given\Dog\923.jpg,1
data_given\Cat\3261.jpg,0
data_given\Dog\7146.jpg,1
data_given\Cat\8379.jpg,0
data_given\Cat\8077.jpg,0
data_given\Dog\10829.jpg,1
data_given\Dog\8837.jpg,1
data_given\Dog\939.jpg,1
data_given\Dog\11357.jpg,1
data_given\Cat\10357.jpg,0
data_given\Cat\3839.jpg,0
data_given\Dog\292.jpg,1
data_given\Cat\10501.jpg,0
data_given\Cat\11179.jpg,0
data_given\Dog\1061.jpg,1
data_given\Cat\920.jpg,0
data_given\Dog\6760.jpg,1
data_given\Cat\6199.jpg,0
data_given\Cat\4089.jpg,0
data_given\Cat\9705.jpg,0
data_given\Dog\5684.jpg,1
data_given\Cat\11188.jpg,0
data_given\Cat\3202.jpg,0
data_given\Dog\12428.jpg,1
data_given\Dog\121.jpg,1
data_given\Cat\7149.jpg,0
data_given\Dog\11652.jpg,1
data_given\Cat\8696.jpg,0
data_given\Dog\17.jpg,1
data_given\Cat\9498.jpg,0
data_given\Dog\1963.jpg,1
data_given\Cat\12454.jpg,0
data_given\Dog\2701.jpg,1
data_given\Dog\1422.jpg,1
data_given\Dog\9086.jpg,1
data_given\Cat\7120.jpg,0
data_given\Cat\10867.jpg,0
data_given\Dog\1200.jpg,1
data_given\Dog\6210.jpg,1
data_given\Dog\4568.jpg,1
data_given\Cat\2627.jpg,0
data_given\Cat\9410.jpg,0
data_given\Cat\4651.jpg,0
data_given\Dog\5470.jpg,1
data_given\Dog\10965.jpg,1
data_given\Dog\9832.jpg,1
data_given\Cat\8777.jpg,0
data_given\Dog\11154.jpg,1
data_given\Cat\1162.jpg,0
data_given\Dog\7012.jpg,1
data_given\Dog\11675.jpg,1
data_given\Dog\12107.jpg,1
data_given\Cat\10197.jpg,0
data_given\Dog\4145.jpg,1
data_given\Cat\3977.jpg,0
data_given\Cat\6194.jpg,0
data_given\Dog\1752.jpg,1
data_given\Dog\9828.jpg,1
data_given\Cat\11513.jpg,0
data_given\Dog\10755.jpg,1
data_given\Cat\6364.jpg,0
data_given\Dog\4183.jpg,1
data_given\Cat\7059.jpg,0
data_given\Cat\12060.jpg,0
data_given\Dog\1845.jpg,1
data_given\Cat\6646.jpg,0
data_given\Cat\12142.jpg,0
data_given\Dog\636.jpg,1
data_given\Dog\2576.jpg,1
data_given\Dog\9247.jpg,1
data_given\Dog\3394.jpg,1
data_given\Dog\10845.jpg,1
data_given\Dog\1609.jpg,1
data_given\Cat\1585.jpg,0
data_given\Cat\7548.jpg,0
data_given\Cat\12099.jpg,0
data_given\Dog\2652.jpg,1
data_given\Dog\7429.jpg,1
data_given\Cat\11795.jpg,0
data_given\Dog\8751.jpg,1
data_given\Cat\10470.jpg,0
data_given\Cat\4937.jpg,0
data_given\Dog\6812.jpg,1
data_given\Cat\9661.jpg,0
data_given\Dog\10976.jpg,1
data_given\Dog\11542.jpg,1
data_given\Dog\10403.jpg,1
data_given\Cat\10989.jpg,0
data_given\Cat\12045.jpg,0
data_given\Dog\5557.jpg,1
data_given\Dog\1570.jpg,1
data_given\Cat\3674.jpg,0
data_given\Dog\6792.jpg,1
data_given\Dog\11526.jpg,1
data_given\Dog\10422.jpg,1
data_given\Cat\7720.jpg,0
data_given\Dog\5527.jpg,1
data_given\Dog\2471.jpg,1
data_given\Cat\6501.jpg,0
data_given\Dog\3162.jpg,1
data_given\Cat\4169.jpg,0
data_given\Cat\7813.jpg,0
data_given\Dog\7169.jpg,1
data_given\Cat\5047.jpg,0
data_given\Dog\2875.jpg,1
data_given\Cat\9792.jpg,0
data_given\Dog\4416.jpg,1
data_given\Dog\9357.jpg,1
data_given\Dog\9641.jpg,1
data_given\Dog\3201.jpg,1
data_given\Dog\12401.jpg,1
data_given\Cat\6455.jpg,0
data_given\Dog\12494.jpg,1
data_given\Dog\8624.jpg,1
data_given\Dog\7623.jpg,1
data_given\Dog\2022.jpg,1
data_given\Cat\131.jpg,0
data_given\Cat\7357.jpg,0
data_given\Cat\4251.jpg,0
data_given\Dog\3910.jpg,1
data_given\Cat\1961.jpg,0
data_given\Cat\556.jpg,0
data_given\Dog\960.jpg,1
data_given\Cat\10184.jpg,0
data_given\Dog\5812.jpg,1
data_given\Cat\91.jpg,0
data_given\Cat\8883.jpg,0
data_given\Cat\5381.jpg,0
data_given\Dog\114.jpg,1
